"Timestamp","What is your age?","What is your ethnicity/race? ","How do you identify yourself (gender)?","What is your religious standing?","Do you identify with one of the two major political parties? If so, please select one:","It is necessary for the government to preserve order and the rule of law during times of civil unrest (even if it means violating individual rights and the Constitution)","The rule of law is more important than individual freedoms","The decision of President Trump to deploy tear gas against peaceful demonstrators (for his photo op at St. Johns Episcopal Church) is justified","The current militarization of police in the US is necessary","Law enforcement officers should be given leniency for acting on impulse (e.g. ""I feared for my life"")","Law enforcement officers should face more severe penalties for murder (due to their ability to legally wield more firepower)","How do you feel about the statement ""All Cops are Bastards"" (ACAB)?","Is the US police system in need of systematic reform?","The government should treat the peaceful demonstrators separately from the destructive rioters/looters when using force","Do you think President Trump has handled the widespread protests effectively?","Social media activism is helpful (not including donations)","What have you contributed to this social movement so far?","Do you think you will care equally about current sociopolitical issues and activism after the social media hype is dead?","I am part of a systematically oppressed group in the US","Have you had a run-in with the police/other authority that YOU feel was racially motivated?","""White privilege"" is real"," ""A riot is the language of the unheard."" - MLK","We should be:","Additional thoughts (if you would like to add onto any one of your responses or clarify your thoughts on any question)","Do you consent to having your responses included in any analyses of the data?"
"2020/06/04 6:28:04 PM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","1","2","1","1","4","5","3","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Yes","5","""Color-blind""","","Yes"
"2020/06/04 6:33:36 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Democratic Party","2","3","1","2","2","5","1","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","Neither","","Yes"
"2020/06/04 6:36:46 PM MDT","18-22","Caucasian/White","Female","Atheist/Agnostic","Democratic Party","2","2","1","1","2","5","5","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/04 6:39:01 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","2","2","1","1","2","4","3","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Printed and stuck posters around my city in public places ","Yes","No","No","Yes","5","Neither","","Yes"
"2020/06/04 6:39:07 PM MDT","18-22","African American/Black","Male","Atheist/Agnostic","No party affiliations","5","1","5","5","3","4","1","No","Yes","Yes","2","Had talks with family/friends about potential racial bias","Yes","Yes","No","No","3","""Color-blind""","","Yes"
"2020/06/04 6:40:47 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","No party affiliations","1","1","1","1","2","5","3","Yes","Yes","No","2","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","Neither","","Yes"
"2020/06/04 6:43:35 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Democratic Party","4","2","1","2","1","4","2","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/04 6:44:43 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","No party affiliations","1","1","1","1","2","5","3","Yes","Yes","No","2","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","Neither","","Yes"
"2020/06/04 6:44:48 PM MDT","18-22","Asian/Pacific Islander","Male","Hindu","No party affiliations","2","1","1","1","3","4","1","Yes","Yes","No","4","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Somewhat","3","Neither","","Yes"
"2020/06/04 6:45:01 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","No party affiliations","1","1","1","1","2","5","3","Yes","Yes","No","2","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","Neither","","Yes"
"2020/06/04 6:45:45 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","1","1","1","1","1","5","5","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 6:48:05 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Democratic Party","2","3","1","4","3","4","2","Yes","Yes","No","3","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","Yes","No","Somewhat","4","Neither","","Yes"
"2020/06/04 6:54:28 PM MDT","18-22","Asian/Pacific Islander","Female","Atheist/Agnostic","Democratic Party","3","2","1","2","1","4","3","Yes","Yes","No","2","Nothing","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/04 6:55:07 PM MDT","< 18","Indian/Pakistani (Asian subcontinent)","Male","Atheist/Agnostic","No party affiliations","3","4","1","3","5","4","1","Yes","Yes","No","2","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Somewhat","4","Neither","","Yes"
"2020/06/04 6:56:34 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","3","2","1","3","1","5","3","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","""Color-aware""","","Yes"
